"Federal Contests",,,,,
"USHouseTotal","US House of Representatives",,,,
"USHouseTotal-R",20,,,,
"USHouseTotal-D",200,,,,
"USHouseUnknown",200,,,,
,,,,,
"USSenateTotal","US Senate",,,,
"USSenateTotal-R",20,,,,
"USSenateTotal-D",70,,,,
"USSenateUnknown",10,,,,
,,,,,
"PresidentNational","President & Vice President",,,,
"PresidentNat-candidate01","De LaCruze/Garcia (SL)","PresidentNat-candidate01-PCT",1,"PresidentNat-candidate01-VOTE",10
"PresidentNat-candidate02","Harris/Walz (D)","PresidentNat-candidate02-PCT",2,"PresidentNat-candidate02-VOTE",20
"PresidentNat-candidate03","Oliver/TerMatt (L)","PresidentNat-candidate03-PCT",3,"PresidentNat-candidate03-VOTE",30
"PresidentNat-candidate04","Sonski/Onak (G)","PresidentNat-candidate04-PCT",4,"PresidentNat-candidate04-VOTE",40
"PresidentNat-candidate05","Stein/Ware (G)","PresidentNat-candidate05-PCT",5,"PresidentNat-candidate05-VOTE",50
"PresidentNat-candidate06","Trump/Vance (NeoN)","PresidentNat-candidate06-PCT",6,"PresidentNat-candidate06-VOTE",60
